Año,Fecha (dd/mm/aaaa),Moneda,Continente,Id Moneda,Tipo de cambio,Tipo de tasa,Valor
2010,2010-11-02,Nuevo Sol peruano,AMERICA,PEN,Moneda por cada dólar estadounidense,Compra,"2,7928"
2010,2010-11-02,Nuevo Sol peruano,AMERICA,PEN,Moneda por cada dólar estadounidense,Venta,"2,795799"
2010,2010-11-02,Nuevo Sol peruano,AMERICA,PEN,Pesos colombianos por cada moneda,Compra,"654,95743"
2010,2010-11-02,Nuevo Sol peruano,AMERICA,PEN,Pesos colombianos por cada moneda,Venta,"656,026209"
2010,2010-11-02,Real brasileño,AMERICA,BRL,Moneda por cada dólar estadounidense,Compra,"1,7033"
2010,2010-11-02,Real brasileño,AMERICA,BRL,Moneda por cada dólar estadounidense,Venta,"1,704299"
2010,2010-11-02,Real brasileño,AMERICA,BRL,Pesos colombianos por cada moneda,Compra,"1074,417639"
2010,2010-11-02,Real brasileño,AMERICA,BRL,Pesos colombianos por cada moneda,Venta,"1075,647269"
2010,2010-11-03,Nuevo Sol peruano,AMERICA,PEN,Moneda por cada dólar estadounidense,Compra,"2,793"
2010,2010-11-03,Nuevo Sol peruano,AMERICA,PEN,Moneda por cada dólar estadounidense,Venta,"2,794"
2010,2010-11-03,Nuevo Sol peruano,AMERICA,PEN,Pesos colombianos por cada moneda,Compra,"660,40443"
2010,2010-11-03,Nuevo Sol peruano,AMERICA,PEN,Pesos colombianos por cada moneda,Venta,"660,88435"
2010,2010-11-03,Real brasileño,AMERICA,BRL,Moneda por cada dólar estadounidense,Compra,"1,6988"
2010,2010-11-03,Real brasileño,AMERICA,BRL,Moneda por cada dólar estadounidense,Venta,"1,6995"
2010,2010-11-03,Real brasileño,AMERICA,BRL,Pesos colombianos por cada moneda,Compra,"1085,713439"
2010,2010-11-03,Real brasileño,AMERICA,BRL,Pesos colombianos por cada moneda,Venta,"1086,561099"
2010,2010-11-04,Nuevo Sol peruano,AMERICA,PEN,Moneda por cada dólar estadounidense,Compra,"2,791999"
2010,2010-11-04,Nuevo Sol peruano,AMERICA,PEN,Moneda por cada dólar estadounidense,Venta,"2,793"
2010,2010-11-04,Nuevo Sol peruano,AMERICA,PEN,Pesos colombianos por cada moneda,Compra,"658,768339"
2010,2010-11-04,Nuevo Sol peruano,AMERICA,PEN,Pesos colombianos por cada moneda,Venta,"659,41618"
2010,2010-11-04,Real brasileño,AMERICA,BRL,Moneda por cada dólar estadounidense,Compra,"1,679"
2010,2010-11-04,Real brasileño,AMERICA,BRL,Moneda por cada dólar estadounidense,Venta,"1,6796"
2010,2010-11-04,Real brasileño,AMERICA,BRL,Pesos colombianos por cada moneda,Compra,"1095,463199"
2010,2010-11-04,Real brasileño,AMERICA,BRL,Pesos colombianos por cada moneda,Venta,"1096,5396"
2010,2010-11-05,Nuevo Sol peruano,AMERICA,PEN,Moneda por cada dólar estadounidense,Compra,"2,793"
2010,2010-11-05,Nuevo Sol peruano,AMERICA,PEN,Moneda por cada dólar estadounidense,Venta,"2,794"
2010,2010-11-05,Nuevo Sol peruano,AMERICA,PEN,Pesos colombianos por cada moneda,Compra,"651,60343"
2010,2010-11-05,Nuevo Sol peruano,AMERICA,PEN,Pesos colombianos por cada moneda,Venta,"652,173289"
2010,2010-11-05,Real brasileño,AMERICA,BRL,Moneda por cada dólar estadounidense,Compra,"1,6835"
2010,2010-11-05,Real brasileño,AMERICA,BRL,Moneda por cada dólar estadounidense,Venta,"1,684399"
2010,2010-11-05,Real brasileño,AMERICA,BRL,Pesos colombianos por cada moneda,Compra,"1080,84777"
2010,2010-11-05,Real brasileño,AMERICA,BRL,Pesos colombianos por cada moneda,Venta,"1081,98396"
2010,2010-11-06,Nuevo Sol peruano,AMERICA,PEN,Moneda por cada dólar estadounidense,Compra,"2,793"
2010,2010-11-06,Nuevo Sol peruano,AMERICA,PEN,Moneda por cada dólar estadounidense,Venta,"2,794"
2010,2010-11-06,Nuevo Sol peruano,AMERICA,PEN,Pesos colombianos por cada moneda,Compra,"650,440219"
2010,2010-11-06,Nuevo Sol peruano,AMERICA,PEN,Pesos colombianos por cada moneda,Venta,"650,93447"
2010,2010-11-06,Real brasileño,AMERICA,BRL,Moneda por cada dólar estadounidense,Compra,"1,6835"
2010,2010-11-06,Real brasileño,AMERICA,BRL,Moneda por cada dólar estadounidense,Venta,"1,684399"
